node1,node2,weight
1,57,0.8
33,57,0.55
1,3,0.8
1,8,0.85
1,6,0.9
1,10,0.85
1,9,0.6
1,64,0.65
4,57,0.75
4,1,1.0
57,1,0.85
21,1,0.9
10,1,0.9
13,1,0.9
7,57,0.7
51,1,0.55
39,1,0.9
68,1,0.6
5,1,0.65
64,57,0.65
1,57,0.8
31,4,0.6
57,7,0.9
6,5,0.6
6,35,0.7
6,2,0.7
6,5,0.6
6,4,0.6
6,32,0.55
57,4,0.6
33,57,0.55
1,57,0.8
64,57,0.65
4,57,0.75
7,57,0.7
57,33,0.55
57,25,0.6
57,1,0.85
57,64,0.75
1,68,0.6
1,21,0.8
1,56,0.6
1,6,0.9
1,10,0.85
1,39,0.9
1,33,0.85
17,3,0.75
1,4,1.0
64,57,0.65
64,68,0.55
64,41,0.55
64,1,0.65
64,7,0.65
1,15,0.55
5,1,0.65
5,6,0.65
5,7,0.55
1,62,0.25
4,45,0.8
4,41,0.55
4,17,0.65
4,7,0.85
4,57,0.75
7,47,0.55
1,54,0.55
32,23,0.55
7,57,0.7
64,57,0.65
1,57,0.8
4,57,0.75
33,57,0.55
32,1,0.55
13,6,0.45
4,6,0.75
32,6,0.55
2,6,0.75
35,6,0.6
