node1,node2,weight
54,1,0.55
10,1,0.9
54,7,0.8
54,1,0.55
54,45,0.6
54,13,0.6
54,2,0.6
33,1,0.9
4,1,1.0
45,54,0.6
1,54,0.55
2,54,0.6
13,54,0.6
7,54,0.75
8,1,0.65
47,1,0.6
23,20,0.55
4,2,0.8
21,2,0.75
54,2,0.6
39,2,0.9
7,2,0.75
6,2,0.7
6,1,0.9
35,1,0.55
17,1,0.95
56,1,0.6
51,1,0.55
19,1,0.95
7,36,0.65
1,32,0.55
1,34,0.55
7,4,0.7
7,47,0.55
7,35,0.6
7,5,0.55
7,19,0.75
1,2,0.9
47,7,0.55
47,1,0.6
1,20,0.6
1,39,0.9
1,33,0.85
2,41,0.6
2,1,0.9
2,23,0.75
2,6,0.75
2,21,0.75
2,20,0.75
1,17,0.95
28,35,0.55
2,13,0.55
1,13,0.65
1,21,0.8
1,34,0.55
1,35,0.7
1,15,0.55
