node1,node2,weight
13,34,0.55
34,13,0.55
13,16,0.9
13,10,0.9
13,17,0.6
13,29,0.6
13,41,0.7
13,25,1.0
13,2,0.6
34,1,0.55
34,13,0.55
34,7,0.55
9,1,1.0
13,7,0.55
28,7,0.55
33,7,0.6
2,7,0.75
6,7,0.75
5,7,0.55
13,4,0.9
34,13,0.55
34,7,0.55
34,1,0.55
34,13,0.55
2,21,0.75
23,19,0.55
21,2,0.75
6,5,0.6
1,5,0.7
7,5,0.55
7,2,0.75
7,34,0.55
13,34,0.55
1,34,0.55
39,2,0.9
2,4,0.75
2,23,0.75
2,39,0.9
2,7,0.75
2,41,0.6
1,2,0.9
6,7,0.75
17,7,0.7
33,7,0.6
23,7,0.75
41,7,0.95
34,1,0.55
19,23,0.75
19,1,0.95
1,9,0.6
19,7,0.95
19,23,0.75
17,23,0.55
32,23,0.55
2,23,0.75
1,23,0.8
7,23,0.7
19,4,0.65
34,13,0.55
1,13,0.65
35,13,0.65
41,13,0.65
29,13,0.6
