node1,node2,weight
1,71,0.55
4,13,0.9
4,66,0.6
1,71,0.55
4,72,0.7
9,1,1.0
57,1,0.85
10,1,0.9
19,1,0.95
60,1,0.85
33,1,0.9
4,26,0.55
26,4,0.55
61,4,0.65
17,4,0.55
41,4,0.55
7,4,0.7
39,4,0.55
4,2,0.8
45,4,0.75
2,4,0.75
57,4,0.6
19,4,0.65
1,4,1.0
4,6,0.75
56,13,0.55
29,13,0.6
17,13,0.6
4,13,0.9
35,13,0.65
41,13,0.65
4,57,0.75
13,2,0.6
13,17,0.6
13,29,0.6
13,34,0.55
13,25,1.0
13,7,0.55
8,1,0.65
1,39,0.9
1,33,0.85
66,4,0.6
31,4,0.6
61,4,0.65
26,4,0.55
6,4,0.6
19,4,0.65
1,23,0.8
33,1,0.9
7,1,0.85
17,1,0.95
8,1,0.65
4,1,1.0
31,1,0.65
9,1,1.0
1,10,0.85
13,41,0.7
13,56,0.55
13,1,0.9
13,34,0.55
13,25,1.0
13,35,0.65
1,5,0.7
4,62,0.85
4,3,0.85
4,61,0.6
4,72,0.7
4,66,0.6
4,26,0.55
1,78,0.55
17,13,0.6
56,13,0.55
41,13,0.65
29,13,0.6
7,13,0.55
1,13,0.65
1,56,0.6
41,60,0.55
41,36,0.6
41,4,0.55
41,10,0.7
41,64,0.55
34,13,0.55
1,54,0.55
10,8,0.55
21,8,0.95
1,8,0.85
1,34,0.55
70,41,0.55
7,41,0.75
2,41,0.6
10,41,0.9
75,41,0.6
68,41,0.55
1,15,0.55
1,19,0.8
1,29,0.7
1,23,0.8
1,61,0.75
1,13,0.65
1,9,0.6
1,74,0.55
17,13,0.6
56,13,0.55
34,13,0.55
29,13,0.6
7,13,0.55
61,2,0.6
77,23,0.55
4,13,0.9
1,13,0.65
34,13,0.55
29,13,0.6
17,13,0.6
35,13,0.65
2,23,0.75
1,39,0.9
1,33,0.85
1,7,0.95
1,23,0.8
1,29,0.7
1,36,0.65
1,54,0.55
17,23,0.55
35,33,0.65
51,33,0.55
7,33,0.6
57,33,0.55
19,23,0.75
54,13,0.6
2,13,0.55
69,23,0.55
13,29,0.6
13,2,0.6
13,25,1.0
13,54,0.6
13,17,0.6
13,29,0.6
13,6,0.45
36,7,0.7
13,10,0.9
4,61,0.6
4,3,0.85
4,39,0.55
4,2,0.8
4,41,0.55
4,1,1.0
