node1,node2,weight
13,25,1.0
10,25,1.0
29,13,0.6
7,13,0.55
1,13,0.65
17,13,0.6
17,7,0.7
7,4,0.7
17,28,0.55
17,13,0.6
17,4,0.55
17,39,0.55
7,29,0.6
34,13,0.55
7,13,0.55
35,13,0.65
29,13,0.6
7,20,0.7
7,34,0.55
6,10,0.65
13,10,0.9
1,10,0.85
21,10,0.9
34,7,0.55
10,2,0.85
10,3,0.85
29,1,0.7
29,7,0.6
29,13,0.6
10,6,0.85
10,21,0.9
1,13,0.65
35,13,0.65
2,13,0.55
4,13,0.9
10,1,0.9
10,6,0.85
4,7,0.85
35,7,0.6
33,7,0.6
23,7,0.75
23,17,0.55
17,23,0.55
4,17,0.65
23,17,0.55
13,17,0.6
1,17,0.95
17,1,0.95
7,2,0.75
13,2,0.6
4,2,0.8
1,2,0.9
